study	name	release_date
4279	Higher Education General Information Survey (HEGIS) IX:  Students Enrolled for Advanced Degrees, Fall 1974  	2005-08-18 00:00:00
4280	Height of Soldiers in Austria-Hungary (Habsburg Monarchy), 1713-1929 	2006-07-20 00:00:00
4281	Higher Education General Information Survey (HEGIS) XVII:  Basic Student Charges, 1982-1983  	2005-08-18 00:00:00
4282	Current Population Survey, October 2004: School Enrollment, Language Proficiency and Disability Supplement	2006-01-31 00:00:00
4283	National Center for Early Development and Learning Multistate Study of Pre-Kindergarten, 2001-2003	2005-10-26 00:00:00
4284	White Attitudes Toward Black Civil Equality in the Nineteenth Century:  Iowa's Equal Rights Referenda of 1857, 1868, and 1880	2005-12-19 00:00:00
4285	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 2003	2003-06-13 00:00:00
4286	Uniform Crime Reporting Program Data [United States]:  Property Stolen and Recovered, 2003  	2005-08-24 00:00:00
4287	Census of Publicly Funded Forensic Crime Laboratories, 2002	2005-09-02 00:00:00
4288	Traffic Stop Data Collection Policies for State Police, 2004	2005-09-02 00:00:00
4289	Eurobarometer 62.0:  Standard European Trend Questions and Sport, October-November 2004	2005-10-26 00:00:00
4290	Monitoring of Federal Criminal Sentences, 2003	2005-10-11 00:00:00
4291	Harvard School of Public Health College Alcohol Study, 2001	2005-08-08 00:00:00
4292	National Incident-Based Reporting System, 2003	2006-10-26 00:00:00
4293	American National Election Study, 2004: Panel Study	2006-08-08 00:00:00
4294	American National Election Study, 2004: Contextual File	2006-04-17 00:00:00
4295	General Social Surveys, 1972-2004 [Cumulative File]	2005-09-02 00:00:00
4296	Great Plains Population and Environment Data: Social and Demographic Data, 1870-2000 [United States]	2005-10-11 00:00:00
4297	Survey of Texas Adults, 2004	2005-09-22 00:00:00
4298	Partnership Impact Research Project, 2001-2004 [United States]	2006-04-17 00:00:00
4299	Evaluation of the Adolescent Portable Therapy (APT) Program [New York City], 2001-2004	2005-11-04 00:00:00
4300	AsiaBarometer, 2003	2005-11-04 00:00:00
4301	Community Partnerships for Older Adults (CPOA) Program Survey of Older Adults, 2002 [United States]	2005-10-26 00:00:00
4302	Deterrent Effect of Curfew Enforcement: Operation Nightwatch in St. Louis, 2003-2005	2005-11-14 00:00:00
4303	Federal Court Cases:  Integrated Data Base Bankruptcy Petitions, 1994	2005-09-22 00:00:00
4304	Federal Court Cases:  Integrated Data Base Bankruptcy Petitions, 1995	2005-09-22 00:00:00
4305	Federal Court Cases:  Integrated Data Base Bankruptcy Petitions, 1996	2005-09-22 00:00:00
4306	Federal Court Cases:  Integrated Data Base Bankruptcy Petitions, 1997	2005-09-22 00:00:00
4307	Domestic Violence Experiment in King's County (Brooklyn), New York, 1995-1997 	2006-08-01 00:00:00
4308	Risk Management of Sexually Abusive Youth in Massachusetts, 1998-2004	2006-01-06 00:00:00
4309	Sexual Assault During and After Separation or Divorce in Rural Ohio, 2003-2004	2008-04-22 13:11:31
4310	Current Population Survey, July 1992:  Telephone Availability Supplement File  	2005-12-06 00:00:00
4311	Current Population Survey, February 2005: Contingent Work Supplement	2006-01-31 00:00:00
4312	Current Population Survey:  Annual Social and Economic (ASEC) Survey, 2005	2005-11-22 00:00:00
4313	ABC News/Washington Post Pre-Inaugural Monthly Poll, January 2005	2005-10-26 00:00:00
4314	Hispanic Established Populations for Epidemiologic Studies of the Elderly, Wave IV, 2000-2001 [Arizona, California, Colorado, New Mexico, and Texas]	2005-11-04 00:00:00
4315	ABC News/Washington Post National Traffic Poll, January 2005	2006-05-18 00:00:00
4316	Washington Post Poll: DC-Region Traffic Poll, January 2005	2007-04-25 00:00:00
4317	CBS News/NEW YORK TIMES New York State Poll, February 2005	2006-03-06 00:00:00
4318	CBS News/New York Times Monthly Poll, February 2005	2006-12-15 00:00:00
4319	ABC News/Washington Post Poll, March 2005	2006-07-20 00:00:00
4320	ABC News Terri Schiavo Poll, March 2005	2006-06-09 00:00:00
4321	CBS News/New York Times Monthly Poll #1, March 2005	2006-03-06 00:00:00
4322	CBS News/MTV/Gates Foundation Monthly Poll, March 2005	2006-09-19 00:00:00
4323	CBS News Monthly Poll #3, March 2005	2006-07-27 00:00:00
4324	Washington Post: DC-Region Moms Poll, April 2005	2006-05-02 00:00:00
4325	ABC News/USA TODAY/Stanford University Pain Poll, April 2005	2006-03-06 00:00:00
4326	ABC News/Washington Post Monthly Poll, April 2005	2006-12-11 00:00:00
4327	CBS News Monthly Poll, May 2005	2007-03-30 00:00:00
4328	ABC News/Washington Post Poll, June 2005	2006-11-08 00:00:00
4329	ABC News/Washington Post Bush Iraq Speech Poll, June 2005	2007-03-07 00:00:00
4330	CBS News/New York Times Monthly Poll, June 2005	2007-01-29 00:00:00
4331	New York Times New York City Poll, June 2005	2007-02-14 00:00:00
4332	ABC News/Washington Post Supreme Court Poll, July 2005 	2006-09-08 00:00:00
4333	National Business Associations, United States, 2003	2006-02-17 00:00:00
4334	National Fertility Survey, 1975	2007-02-23 00:00:00
4335	American Time Use Survey (ATUS), 2004	2006-09-08 00:00:00
4336	Survey of Program Dynamics (SPD), 1999:  Cross-Sectional File	2006-03-06 00:00:00
4337	Assessing Mental Health Problems Among Serious Delinquents Committed to the California Youth Authority, 1997-1999	2006-01-16 00:00:00
4338	Developing a Comprehensive Empirical Model of Policing in the United States, 1996-1999	2006-09-06 00:00:00
4339	Evaluation of the Juvenile Breaking the Cycle Program in Lane County, Oregon, 2000-2002 	2006-09-21 00:00:00
4340	Assessing Police Officers' Decision Making and Discretion in Making Traffic Stops in Savannah, Georgia, 2002	2006-01-16 00:00:00
4341	Eurobarometer 62.1: The Future of the European Union, Vocational Training, Environment, IT at Work, and Public Services, October-November 2004	2005-11-14 00:00:00
4342	Varshney-Wilkinson Dataset on Hindu-Muslim Violence in India, 1950-1995, Version 2	2006-02-17 00:00:00
4343	Puerto Rico Census Project, 1910	2006-01-16 00:00:00
4344	Puerto Rico Census Project, 1920	2006-01-16 00:00:00
4345	National Corrections Reporting Program, 2002: [United States]	2006-04-05 00:00:00
4346	Current Population Survey, May 2004: Work Schedules and Work at Home Supplement	2008-03-11 00:00:00
4347	Current Population Survey, 2004: Cell Phone Supplement	2008-03-13 00:00:00
4348	Federal Court Cases:  Integrated Data Base, 2004	2005-11-04 00:00:00
4349	National Health Interview Survey, 2004	2005-10-26 00:00:00
4350	Candidate Countries Eurobarometer 2004.1, February-March 2004	2006-08-17 00:00:00
4351	Uniform Crime Reports [United States]:  Supplementary Homicide Reports, 1976-2003   	2005-11-22 00:00:00
4352	National Electronic Injury Surveillance System All Injury Program, 2003     	2005-11-14 00:00:00
4353	Firearm Injury Surveillance Study, 1993-2003 [United States]   	2005-11-14 00:00:00
4354	Resources for Enhancing Alzheimer's Caregiver Health (REACH II), 2001-2004	2006-10-27 00:00:00
4355	Measuring Police-Community Interaction Variables in Indianapolis, 1999-2000	2007-06-28 00:00:00
4356	Testing the Effects of Selected Jury Trial Innovations on Juries' Comprehension of DNA Evidence in New Castle County, Delaware, 2003	2006-01-06 00:00:00
4357	The Mannheim Eurobarometer Trend File, 1970-2002  	2005-12-06 00:00:00
4359	Survey of Inmates in Local Jails, 2002 [United States]	2006-03-17 00:00:00
4360	Uniform Crime Reporting Program Data [United States]:  County-Level Detailed Arrest and Offense Data, 2003	2005-12-06 00:00:00
4361	Height of Children in Austria-Hungary (Habsburg Monarchy), 1779-1820 	2006-07-20 00:00:00
4362	Effectiveness of Culturally-Focused Batterer Counseling for African American Men in Pittsburgh, Pennsylvania, 2001-2004	2008-01-31 00:00:00
4363	Height of French Soldiers, 1716-1784	2006-07-25 00:00:00
4364	Size of Horses in the Habsburg Military, 1781-1820	2006-03-06 00:00:00
4365	Expenditure and Employment Data for the Criminal Justice System [United States]:  CJEE Extracts File, 2002	2005-12-19 00:00:00
4366	Expenditure and Employment Data for the Criminal Justice System [United States]:  CJEE Extracts File, 2003	2005-12-19 00:00:00
4367	Rape Prevention Through Bystander Education at a Northeastern State University, 2002-2004	2008-02-29 00:00:00
4368	Study of Women's Health Across the Nation (SWAN), 1995-1997: Cross-Sectional Screener Dataset	2006-03-06 00:00:00
4369	Current Population Survey, December 2004: Food Security Supplement	2006-01-31 00:00:00
4370	American Community Survey (ACS): Public Use Microdata Sample (PUMS), 2004	2008-01-22 00:00:00
4371	Height of Military Cadets in Austria-Hungary (Habsburg Monarchy) 1731-1759, 1859-1906 	2006-04-05 00:00:00
4372	Health Behavior in School-Aged Children, 2001-2002 [United States]	2008-06-25 12:03:49
4373	National Survey on Drug Use and Health, 2004	2006-05-12 00:00:00
4374	Current Population Survey, March/April 1984 Match Files: Alimony and Child Support 	2006-08-09 00:00:00
4375	Social Sciences Data and Government Information Feedback Survey, October 2005 [United States]	2007-10-17 00:00:00
4376	Current Population Survey, March/April 1986: Match File: Alimony and Child Support	2008-03-20 00:00:00
4377	Current Population Survey, March/April 1988 Match Files: Alimony and Child Support	2008-03-20 00:00:00
4378	Current Population Survey, March/April 1990 Match Files: Alimony and Child Support	2008-03-11 00:00:00
4379	Child Care and Development Fund Administrative Data, Federal Fiscal Year 2001	2006-04-25 00:00:00
4380	Current Population Survey, March/April 1992 Match Files: Alimony and Child Support	2008-03-20 00:00:00
4381	Survey of Community, Crime, and Health, 1995, 1998 [United States]	2006-03-06 00:00:00
4382	Federal Court Cases: Integrated Data Base, 2005	2006-03-17 00:00:00
4383	Effects of Short-Term Batterer Treatment for Detained Arrestees in Sacramento County, California, 1999-2000	2007-02-13 00:00:00
4384	Survey of Consumer Attitudes and Behavior, January 1997	2006-03-17 00:00:00
4385	Survey of Consumer Attitudes and Behavior, February 1997	2006-03-17 00:00:00
4386	Survey of Consumer Attitudes and Behavior, March 1997	2006-03-17 00:00:00
4387	Survey of Consumer Attitudes and Behavior, April 1997	2006-03-17 00:00:00
4388	Survey of Consumer Attitudes and Behavior, May 1997	2006-04-05 00:00:00
4389	Survey of Consumer Attitudes and Behavior, June 1997	2006-04-05 00:00:00
4390	Survey of Consumer Attitudes and Behavior, July 1997	2006-04-05 00:00:00
4391	Survey of Consumer Attitudes and Behavior, August 1997	2006-04-05 00:00:00
4392	Survey of Consumer Attitudes and Behavior, September 1997	2006-04-05 00:00:00
4393	Survey of Consumer Attitudes and Behavior, October 1997	2006-04-05 00:00:00
4394	Survey of Consumer Attitudes and Behavior, November 1997	2006-04-17 00:00:00
4395	Survey of Consumer Attitudes and Behavior, December 1997	2006-04-17 00:00:00
4396	CBS News Monthly Poll #1, July 2005	2007-01-31 00:00:00
4397	CBS News Monthly Poll #2, July 2005	2007-01-24 00:00:00
4398	CBS News Monthly Poll, August 2005	2007-01-24 00:00:00
4399	CBS News Monthly Poll #1, September 2005	2007-02-14 00:00:00
4400	New York Times New York City Poll, August 2005	2007-04-26 00:00:00
4401	CBS News/New York Times Monthly Poll #2, September 2005	2007-05-08 00:00:00
4402	Nang Rong Projects [Thailand]	2006-12-22 00:00:00
4403	Current Population Survey, September 2005: Volunteer Supplement	2008-01-14 00:00:00
4404	Capital Punishment in the United States, 1973-2003	2006-03-17 00:00:00
4405	National Hospital Ambulatory Medical Care Survey, 2002	2006-02-17 00:00:00
4406	National Hospital Ambulatory Medical Care Survey, 2003	2006-02-17 00:00:00
4407	County Business Patterns, 2002 [United States]: U.S. Summary, State, and County Data	2008-01-14 00:00:00
4408	County Business Patterns, 2003 [United States]: U.S. Summary, State, and County Data	2008-01-14 00:00:00
4409	Prosecuting Domestic Violence Cases with Reluctant Victims in Milwaukee, Wisconsin, 1994-1995 	2006-06-08 00:00:00
4411	Law Enforcement Management and Administrative Statistics (LEMAS): 2003 Sample Survey of Law Enforcement Agencies 	2006-05-10 00:00:00
4412	National Hospital Discharge Survey, 1979-2000: Multi-Year Public Use File	2006-03-17 00:00:00
4413	Detroit Arab American Study (DAAS), 2003	2006-07-10 00:00:00
4414	National Crime Victimization Survey Longitudinal File, 1995-1999	2007-03-14 00:00:00
4415	Consumer Expenditure Survey, 2004: Diary Survey	2008-01-15 00:00:00
4416	Consumer Expenditure Survey, 2004: Interview Survey and Detailed Expenditure Files	2008-01-15 00:00:00
4417	Afrobarometer: Round II Survey of Lesotho, 2003	2006-12-01 00:00:00
4418	Afrobarometer: Round II Survey of Mali, 2002	2006-09-06 00:00:00
4419	Census of Governments, 1992: Employment Statistics	2008-01-14 00:00:00
4420	Census of Governments, 1992: Finance Statistics	2008-01-14 00:00:00
4421	Census of Governments, 1992: Government Organization File	2008-01-14 00:00:00
4422	Census of Governments, 1997: Employment Statistics	2008-01-14 00:00:00
4423	Census of Governments, 1997: Finance Statistics	2008-01-14 00:00:00
4424	Census of Governments, 1997: Government Organization File	2008-01-14 00:00:00
4425	Census of Governments, 2002: Employment Statistics	2008-01-14 00:00:00
4426	Census of Governments, 2002: Finance Statistics	2008-01-14 00:00:00
4427	Census of Governments, 2002: Government Organization File	2008-01-14 00:00:00
4428	Annual Survey of Jails:  Jurisdiction-Level Data, 2002	2006-04-05 00:00:00
4429	National Crime Victimization Survey: School Crime Supplement, 2005	2006-12-04 00:00:00
4430	Capital Punishment in the United States, 1973-2004	2006-04-05 00:00:00
4431	Treatment Episode Data Set -- Admissions (TEDS-A), 2004	2006-04-24 00:00:00
4432	Alameda County [California] Health and Ways of Living Study, 1999 Panel	2006-11-16 00:00:00
4433	National Survey of Local Government Economic Development, 1998	2007-09-17 00:00:00
4434	National Survey of Economic Development Organizations, 1999	2007-09-17 00:00:00
4435	American Customer Satisfaction Index, 1998	2006-05-22 00:00:00
4436	American Customer Satisfaction Index, 1999	2006-06-09 00:00:00
4437	Second National Study on the Situation of Youth in the Philippines [1997]	2006-10-20 00:00:00
4438	National Comorbidity Survey: Replication (NCS-R), 2001-2003	2006-06-07 00:00:00
4439	Census of Tribal Justice Agencies, 2002	2006-07-13 00:00:00
4440	Early Childhood Longitudinal Study [United States]: Kindergarten Class of 1998-1999, Fifth Grade	2006-06-14 00:00:00
4441	Current Population Survey: Annual Demographic File, March Supplements 1973-1975	2008-04-28 09:26:37
4442	National Hospital Discharge Survey, 2004	2006-05-03 00:00:00
4443	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 2002	2006-09-21 00:00:00
4444	National Crime Victimization Survey: Unbounded Data, 1999	2006-06-23 00:00:00
4445	National Crime Victimization Survey: Unbounded Data, 2000	2006-06-23 00:00:00
4446	National Crime Victimization Survey: Unbounded Data, 2001	2006-06-23 00:00:00
4447	National Crime Victimization Survey: Unbounded Data, 2002	2006-06-22 00:00:00
4448	National Crime Victimization Survey: Unbounded Data, 2003	2006-06-22 00:00:00
4449	National Crime Victimization Survey: Unbounded Data, 2004	2006-06-22 00:00:00
4451	National Crime Victimization Survey, 2005	2007-04-20 00:00:00
4452	Biodemographic Models of Reproductive Aging (BIMORA) Project, 1998-2002 [United States]	2006-06-09 00:00:00
4453	Evidence-Based Review of Rape and Sexual Assault Preventive Intervention Programs in the United States, 1990-2003	2006-12-18 00:00:00
4454	Offender Characteristics, Offense Mix, and Escalation in Domestic Violence in Colorado Springs, Colorado, Miami-Dade, Florida, Omaha, Nebraska, Charlotte, North Carolina, and Milwaukee, Wisconsin, 1987-1989	2007-02-06 00:00:00
4455	National Study of Physician Organizations and the Management of Chronic Illness (NSPO), 2000-2001	2006-05-30 00:00:00
4456	Impact of State Sentencing Policies on Incarceration Rates in the United States, 1975-2002	2007-09-27 00:00:00
4457	Role of Law Enforcement in Public School Safety in the United States, 2002	2008-12-24 10:07:23
4458	Stress Training for Probation Officers and Their Families in Harris County, Texas, 2001	2007-11-02 00:00:00
4459	Uniform Crime Reporting Program Data [United States]: Offenses Known and Clearances by Arrest, 2004 	2006-08-18 00:00:00
4460	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 2004	2006-09-13 00:00:00
4461	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, Summarized Yearly, 2004	2006-09-13 00:00:00
4462	Uniform Crime Reporting Program Data [United States]: Police Employee (LEOKA) Data, 2004 	2006-08-18 00:00:00
4463	Uniform Crime Reporting Program Data [United States]: Property Stolen and Recovered, 2004 	2006-08-18 00:00:00
4464	Uniform Crime Reporting Program Data [United States]: Arson, 2004 	2006-07-07 00:00:00
4465	Uniform Crime Reporting Program Data [United States]: Supplementary Homicide Reports, 2004 	2006-08-18 00:00:00
4466	Uniform Crime Reporting Program Data [United States]: County-Level Detailed Arrest and Offense Data, 2004	2006-07-26 00:00:00
4467	Uniform Crime Reporting Program Data [United States]: Hate Crime Data, 2004 	2006-08-23 00:00:00
4468	National Incident-Based Reporting System, 2004	2006-09-20 00:00:00
4469	National Survey of Substance Abuse Treatment Services (N-SSATS), 2005 	2006-10-24 00:00:00
4470	Survey of Program Dynamics (SPD) Third Longitudinal File: Data Years 1992, 1993, 1994, 1996, 1997, 1998, 1999, 2000, and 2001 	2006-08-03 00:00:00
4471	United States Business and Jobs: Structure and Changes by Sector and County, 1976-1988 	2006-09-27 00:00:00
4472	Japanese General Social Surveys (JGSS) Cumulative Data, 2000-2003	2008-12-08 16:43:53
4474	CBS News Japan Survey, June 1989	2008-03-31 10:26:37
4475	CBS News Education Poll, June 1990	2008-04-15 15:35:19
4476	CBS News/New York Times Monthly Poll #1, January 1992	2008-03-11 00:00:00
4477	CBS News Monthly Poll, March 1996	2008-03-24 00:00:00
4478	CBS News Monthly Poll #4, March 1996	2008-04-21 14:14:29
4479	CBS News Monthly Poll #2, September 1996	2008-04-16 13:43:02
4480	CBS News Monthly Poll #3 and Call-Back Poll, September 1996	2008-04-21 14:26:22
4481	CBS News Telenoticas Survey, October 1996	2008-04-30 15:22:25
4482	CBS News Monthly Poll #1 and Call-Back Poll, October 1996	2008-05-14 13:28:15
4483	CBS News Monthly Poll #1, December 1996	2006-11-30 00:00:00
4484	CBS News Newt Gingrich Poll, January 1997	2006-12-11 00:00:00
4485	National Incident-Based Reporting System, 2004: Extract Files	2006-10-26 00:00:00
4486	CBS News State of the Union Poll and Call-Back Poll, January 1997	2007-01-12 00:00:00
4487	CBS News/New York Times Women's Health Poll, February 1997	2007-01-31 00:00:00
4488	CBS News Campaign Fundraising Poll, March 1997	2008-05-23 11:48:58
4489	CBS News/New York Times Campaign Fundraising/Movies Poll, April 1997	2008-05-22 14:34:56
4490	CBS News/New York Times Women's Health Poll, May 1997	2008-05-30 15:24:33
4491	CBS News Clinton/Ethics Poll, June 1997	2008-07-02 14:05:46
4492	CBS News/New York Times Kosovo Poll, April 1999	2008-07-02 08:45:14
4493	CBS News/New York Times Election Poll, February 2000	2008-04-21 17:34:28
4494	CBS News Lying Poll, May 1997	2008-07-16 16:04:50
4495	CBS News/New York Times Monthly Poll, June 1978	2006-10-04 00:00:00
4496	New York Times National Health Care Poll, March 1982	2006-10-04 00:00:00
4497	New York Times Education Poll, February 1983	2008-08-05 15:00:15
4498	New York Times Monthly Poll, January 1988	2006-11-14 00:00:00
4499	CBS News/New York Times Tokyo Broadcasting System Poll, February 1989	2006-12-15 00:00:00
4500	ICPSR Variables Database 	1997-07-24 00:00:00
4503	New York Times Women's Issues Poll, June 1989	2008-08-14 19:22:42
4504	CBS News State of the Union/War in the Middle East Poll, January 1991	2008-05-14 13:26:02
4505	New York Times Economic Insecurity Poll, December 1995	2008-09-08 17:58:33
4506	CBS News Monthly Poll #2, January 1996	2008-08-19 18:26:02
4507	CBS News Monthly Poll, January 1996	2008-07-14 12:11:56
4508	CBS News Monthly Poll #1, March 1996	2008-07-29 12:13:42
4509	CBS News Monthly Poll #2, March 1996	2008-07-16 13:38:24
4510	CBS News/New York Times Clinton/Dole Comparison Poll, June 1996	2008-09-03 09:34:51
4511	CBS News Olympic Bombing/Terrorism Poll, July 1996	2008-07-16 12:35:19
4512	CBS News/New York Times Presidential Election Poll #1, October 1996	2008-08-14 18:37:40
4513	CBS News Monthly Poll #5, October 1996	2008-08-18 13:07:46
4514	CBS News/New York Times Presidential Election Poll #2, October 1996	2008-08-26 17:52:30
4515	New York Times Economic Security Poll, December 1996	2007-06-04 00:00:00
4516	ABC News Nukes Poll, August 2005	2006-11-13 00:00:00
4517	Survey of Income and Program Participation (SIPP) 2004 Panel	2009-03-30 19:26:34
4518	ABC News/Washington Post Monthly Poll, August 2005	2007-03-08 00:00:00
4519	ABC News/Washington Post Hurricane Katrina Poll, September 2005	2007-03-08 00:00:00
4520	ABC News/Washington Post Hurricane Follow-Up Poll, September 2005	2006-09-19 00:00:00
4521	Washington Post Virginia Governor Poll #1, September 2005	2007-03-09 00:00:00
4522	Washington Post Virginia Governor Poll #2, October 2005	2007-03-09 00:00:00
4523	ABC News/Washington Post Libby Indictment Two-Nighter Poll,  October 2005 	2006-09-28 00:00:00
4524	ABC News/Washington Post Poll, October 2005	2007-01-18 00:00:00
4525	ABC News/Washington Post Poll, December 2005	2006-12-11 00:00:00
4526	Current Population Survey, February 2003: Tobacco Use Supplement (TUS), 2003 Wave	2008-01-14 00:00:00
4527	Current Population Survey, June 2003: Tobacco Use Supplement (TUS), 2003 Wave	2008-01-14 00:00:00
4528	Current Population Survey, November 2003: Tobacco Use Supplement (TUS), 2003 Wave	2008-01-14 00:00:00
4529	Child Care and Development Fund Administrative Data, Federal Fiscal Year 2004	2007-03-09 00:00:00
4530	National Hospital Ambulatory Medical Care Survey, 2004	2006-09-06 00:00:00
4531	European and World Values Surveys Four-wave Integrated Data File, 1981-2004	2006-07-10 00:00:00
4532	Three Generations Combined, 1965-1997	2007-03-23 00:00:00
4533	Race and the Decision to Seek the Death Penalty in Federal Cases, 1995-2000 [United States] 	2006-07-17 00:00:00
4534	Survey of Program Dynamics (SPD), 2000: Cross-Sectional File	2006-08-03 00:00:00
4535	Datasets on Charges of Malfeasance, Preference Votes, Government Portfolios, and Characteristics of Legislators, Chamber of Deputies, Republic of Italy, Legislatures I-XI, 1948-1992	2007-06-21 00:00:00
4536	Monitoring the Future: A Continuing Study of American Youth (12th-Grade Survey), 2005	2006-10-31 00:00:00
4537	Monitoring the Future: A Continuing Study of American Youth (8th- and 10th-Grade Surveys), 2005	2006-10-31 00:00:00
4538	Chitwan Valley [Nepal] Family Study: Changing Social Contexts and Family Formation	2007-01-18 00:00:00
4539	Supplemental Survey of Civil Appeals, 2001	2006-08-21 00:00:00
4540	Investigation and Prosecution of Homicide Cases in the United States, 1995-2000: The Process for Federal Involvement	2006-08-10 00:00:00
4541	Union Centralization Among Advanced Industrial Societies: An Empirical Study of Organisation for Economic Co-operation and Development (OECD) Countries, 1950-2000	2006-08-30 00:00:00
4542	Network Analysis of Corporate Political Action, 1980 [United States]	2007-07-16 00:00:00
4543	Longitudinal Study of a Cohort of Batterers Arraigned in a Massachusetts District Court, 1995-2004	2007-02-23 00:00:00
4545	Development of Crime Forecasting and Mapping Systems for Use by Police in Pittsburgh, Pennsylvania, and Rochester, New York, 1990-2001	2006-08-31 00:00:00
4546	Exploratory Spatial Data Approach to Identify the Context of Unemployment-Crime Linkages in Virginia, 1995-2000	2006-08-31 00:00:00
4547	Geographies of Urban Crime in Nashville, Tennessee, Portland, Oregon, and Tucson, Arizona, 1998-2002	2006-08-31 00:00:00
4548	International Stability: What Ghanians are Thinking, 2006	2007-03-30 00:00:00
4549	The 500 Family Study [1998-2000: United States]	2008-05-30 11:13:41
4550	Jewish School Study, 2001 [United States]	2009-06-10 13:01:02
4551	Sloan Study of Youth and Social Development, 1992-1997 [United States]	2007-07-20 00:00:00
4552	National Firearms Survey, 1999	2007-07-06 00:00:00
4553	Multi-User Database on the Attributes of United States District Court Judges, 1801-2000	2009-02-02 09:23:56
4555	Current Population Survey, August 2005: Veterans Supplement	2008-04-04 08:13:09
4556	Ethno-Methodological Study of the Subculture of Prison Inmate Sexuality in the United States, 2004-2005	2006-12-21 00:00:00
4557	Early Years of Marriage (EYM) Project, Years 1-4, 1986-1989	2007-10-03 00:00:00
4558	Afrobarometer: Round II 16-Country Merged Dataset, 2002-2004	2007-08-24 00:00:00
4559	Current Population Survey: Annual Social and Economic (ASEC) Supplement Survey, 2006	2006-09-28 00:00:00
4560	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1996	2006-10-27 00:00:00
4561	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1995	2006-10-26 00:00:00
4562	Uniform Crime Reporting Program Data [United States]: Arrests by Age, Sex, and Race, 1994	2006-10-26 00:00:00
4563	Eurobarometer 63.1: Science and Technology, Social Values, and Services of General Interest, January-February 2005	2006-11-03 00:00:00
4564	Eurobarometer 63.4: European Union Enlargement, the European Constitution, Economic Challenges, Innovative Products and Services, May-June 2005	2006-10-19 00:00:00
4565	Post-United States Elections Survey: A Survey of Public Opinion in France, Germany, and the United States, 2004	2006-12-05 00:00:00
4566	National Incidence Studies of Missing, Abducted, Runaway, and Thrownaway Children (NISMART), 1999	2007-07-19 00:00:00
4567	Current Population Survey, October 2005: School Enrollment Supplement	2008-04-04 08:15:22
4568	Current Population Survey, January 2006: Displaced Workers, Employee Tenure, and Occupational Mobility Supplement	2008-04-04 08:18:58
4569	Children and Domestic Violence Services (CADVS) Study: Co-Occurring Intimate Partner Violence and Child Maltreatment in the United States, 2003-2004	2012-02-29 10:25:25
4570	Development and Validation of a Coercive Control Measure for Intimate Partner Violence in Boston, Massachusetts and Washington, DC, 2004	2008-09-26 15:07:51
4571	National Evaluation of the LEAA Family Violence Demonstration Program in Five Sites in the United States, 1980-1981	2008-02-28 00:00:00
4572	Survey of Inmates in State and Federal Correctional Facilities, 2004	2007-02-28 00:00:00
4573	National Violent Death Reporting System, 2003	2006-12-12 00:00:00
4574	National Violent Death Reporting System, 2004	2006-12-15 00:00:00
4575	State Court Organizations, 2004 [United States]	2006-10-30 00:00:00
4576	National Crime Victimization Survey: MSA Data, 1979-2004	2007-01-15 00:00:00
4577	Prevalence of Intimate Partner Violence in a Sample of Arrestees in Sacramento, California, 1999	2008-06-30 14:54:07
4578	Effects of Incarceration on Criminal Trajectories in the United States, 1994	2007-02-05 00:00:00
4579	Exploring Women's Histories of Survival of Violence and Victimization in a Midwestern State, 2004-2005	2008-03-26 09:41:17
4580	Eurobarometer 64.2: The European Constitution, Globalization, Energy Resources, and Agricultural Policy, October-November 2005	2006-11-17 00:00:00
4581	National Survey of America's Families (NSAF), 1997	2007-10-04 00:00:00
4582	National Survey of America's Families (NSAF), 2002	2007-10-03 00:00:00
4583	Supervised and Unsupervised Parental Access in Domestic Violence Cases in New York City, New York, 2002-2005	2009-02-27 13:38:09
4584	Community Tracking Study Physician Survey, 2004-2005: [United States]	2006-10-25 00:00:00
4585	CBS News/New York Times Pre-Inauguration Poll, January 1997	2007-01-19 00:00:00
4586	Global Terrorism Database, 1970-1997	2007-03-30 00:00:00
4587	American Community Survey (ACS): Public Use Microdata Sample (PUMS), 2005	2007-08-08 00:00:00
4588	American Housing Survey, 2001: National Microdata	2007-06-12 00:00:00
4589	American Housing Survey, 2002: Metropolitan Microdata	2007-07-06 00:00:00
4590	Eurobarometer 64.3: Foreign Languages, Biotechnology, Organized Crime, and Health Items, November-December 2005	2006-12-20 00:00:00
4591	American Housing Survey, 2003: National Microdata	2007-06-12 00:00:00
4592	American Housing Survey, 2004: Metropolitan Microdata	2007-07-06 00:00:00
4593	American Housing Survey, 2005: National Microdata	2007-06-13 00:00:00
4595	Firearm Injury Surveillance Study, 1993-2004 [United States]	2006-11-16 00:00:00
4596	National Survey on Drug Use and Health, 2005	2006-11-16 00:00:00
4597	Child Care and Development Fund Administrative Data, Federal Fiscal Year 2002	2007-03-09 00:00:00
4598	National Electronic Injury Surveillance System All Injury Program, 2004	2006-11-21 00:00:00
4599	National Household Education Survey, 2005	2007-03-13 00:00:00
4600	National Prosecutors Survey, 2005	2007-01-17 00:00:00
