study	code	description
3212	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3213	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3214	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3215	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3216	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3217	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3218	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3219	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3220	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3221	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3222	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3223	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3224	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3225	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3226	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3227	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
3228	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
3229	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3230	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3231	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3232	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3233	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3234	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3235	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3236	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3237	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3238	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3239	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3240	IX	Health Care and Health Facilities
3241	XVII.G	Social Institutions and Behavior, Vital Statistics
3242	XVII.G	Social Institutions and Behavior, Vital Statistics
3243	XVII.G	Social Institutions and Behavior, Vital Statistics
3244	XVII.G	Social Institutions and Behavior, Vital Statistics
3245	XVII.G	Social Institutions and Behavior, Vital Statistics
3246	XVII.G	Social Institutions and Behavior, Vital Statistics
3247	XVII.G	Social Institutions and Behavior, Vital Statistics
3248	XVII.G	Social Institutions and Behavior, Vital Statistics
3249	XVII.G	Social Institutions and Behavior, Vital Statistics
3250	XVII.G	Social Institutions and Behavior, Vital Statistics
3251	XVII.G	Social Institutions and Behavior, Vital Statistics
3252	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3253	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3254	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3255	XVII.B	Social Institutions and Behavior, Religion
3259	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3260	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3261	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3262	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3263	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3264	XVII.G	Social Institutions and Behavior, Vital Statistics
3265	XVII.G	Social Institutions and Behavior, Vital Statistics
3266	XVII.G	Social Institutions and Behavior, Vital Statistics
3267	IX	Health Care and Health Facilities
3268	IX	Health Care and Health Facilities
3269	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
3270	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3271	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3272	II.B	Community and Urban Studies, Detroit Area Studies
3273	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3274	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3274	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3275	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3276	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3277	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3278	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3279	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3281	XVII	Social Institutions and Behavior
3281	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3282	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3283	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3284	XVII.G	Social Institutions and Behavior, Vital Statistics
3285	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3286	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3287	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3288	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3289	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3289	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3290	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3290	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3291	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3292	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3293	X.B	Instructional Packages and Computer Programs, Computer Programs
3294	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3294	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3295	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3295	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3297	I.A.1.a	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1790-1960 Censuses
3297	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3297	II.C	Community and Urban Studies, Historical Urban and Community Structure Studies
3297	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
3297	IX	Health Care and Health Facilities
3297	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
3297	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3297	XVII.I	Social Institutions and Behavior, Military Service
3298	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3299	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3300	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3300	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3301	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3302	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3303	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3304	XVII.G	Social Institutions and Behavior, Vital Statistics
3305	XVII.G	Social Institutions and Behavior, Vital Statistics
3306	XVII.G	Social Institutions and Behavior, Vital Statistics
3307	XVII.G	Social Institutions and Behavior, Vital Statistics
3308	XVII.G	Social Institutions and Behavior, Vital Statistics
3309	XVII.G	Social Institutions and Behavior, Vital Statistics
3310	XVII.G	Social Institutions and Behavior, Vital Statistics
3311	XVII.G	Social Institutions and Behavior, Vital Statistics
3312	XVII.G	Social Institutions and Behavior, Vital Statistics
3313	IX	Health Care and Health Facilities
3314	IX	Health Care and Health Facilities
3315	I.A.4	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Other Census, Including County and City Data Books
3316	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3317	IX	Health Care and Health Facilities
3318	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3319	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3320	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3321	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3322	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3323	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
3324	VIII.A	Governmental Structures, Policies, and Capabilities, Behavior and Attitudes of Bureaucrats
3325	I.A.1.e	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 2000 Census
3326	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3327	XVII.G	Social Institutions and Behavior, Vital Statistics
3328	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3329	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3330	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3332	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3333	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3334	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3335	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3336	XVII	Social Institutions and Behavior
3337	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3339	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3340	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3341	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3342	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3343	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3344	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3345	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3346	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3347	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3348	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3349	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3350	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3351	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3352	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3353	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3354	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3355	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3356	X.A.1	Instructional Packages and Computer Programs, Instructional Packages, SETUPS
3361	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3362	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3363	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3364	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3365	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3366	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3367	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3368	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3370	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3371	XIII.A.1	Legislative and Deliberative Bodies, Historical and Contemporary Roll Call Voting Records, United States
3371	XIII.B	Legislative and Deliberative Bodies, Studies of Decision-Making in Deliberative Bodies
3372	X.B	Instructional Packages and Computer Programs, Computer Programs
3372	XIX	External Data Resources
3373	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3374	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3375	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3376	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3377	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3378	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3379	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3380	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
3381	IX	Health Care and Health Facilities
3382	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3383	IX	Health Care and Health Facilities
3384	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3385	IX	Health Care and Health Facilities
3386	XVII.G	Social Institutions and Behavior, Vital Statistics
3387	XVII.G	Social Institutions and Behavior, Vital Statistics
3388	XVII.G	Social Institutions and Behavior, Vital Statistics
3389	XVII.G	Social Institutions and Behavior, Vital Statistics
3390	XVII.G	Social Institutions and Behavior, Vital Statistics
3391	XVII.G	Social Institutions and Behavior, Vital Statistics
3392	VII	Geography and Environment
3393	XVI.A	Social Indicators, United States
3394	XVI.A	Social Indicators, United States
3395	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
3396	IV.A	Economic Behavior and Attitudes, Continuing Series of Consumer Surveys
3397	IX	Health Care and Health Facilities
3398	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3399	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3400	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3401	IX	Health Care and Health Facilities
3402	IX	Health Care and Health Facilities
3403	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3404	XVI.A	Social Indicators, United States
3406	IX	Health Care and Health Facilities
3407	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3408	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3409	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3410	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3411	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3412	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3413	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3414	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3415	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3416	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3417	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3418	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3419	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
3420	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
3421	VIII.B.1	Governmental Structures, Policies, and Capabilities, Historical and Contemporary Public Policy Indicators, United States
3422	XVII.G	Social Institutions and Behavior, Vital Statistics
3423	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3424	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3425	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
3426	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
3427	IX	Health Care and Health Facilities
3428	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3429	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3430	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3431	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3432	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3433	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3434	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3435	XVII.H	Social Institutions and Behavior, Family and Gender
3436	IX	Health Care and Health Facilities
3437	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3438	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3439	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3440	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3442	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3443	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3444	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3445	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3446	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3447	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3448	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3449	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3450	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3451	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3452	IX	Health Care and Health Facilities
3453	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3454	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3455	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3456	I.A.3	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Current Population Survey Series
3458	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3459	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3460	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3461	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3462	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3463	X.A.3	Instructional Packages and Computer Programs, Instructional Packages, Other Instructional Packages
3464	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3464	X.A.3	Instructional Packages and Computer Programs, Instructional Packages, Other Instructional Packages
3465	X.A.3	Instructional Packages and Computer Programs, Instructional Packages, Other Instructional Packages
3465	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3466	X.A.2	Instructional Packages and Computer Programs, Instructional Packages, ICPSR Instructional Subsets
3466	X.B	Instructional Packages and Computer Programs, Computer Programs
3467	XVI.A	Social Indicators, United States
3468	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3471	XVII.B	Social Institutions and Behavior, Religion
3472	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3473	XVII.G	Social Institutions and Behavior, Vital Statistics
3474	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3475	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3476	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3477	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3478	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3479	IX	Health Care and Health Facilities
3480	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3481	XVII.G	Social Institutions and Behavior, Vital Statistics
3482	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3483	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3484	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3485	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
3486	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
3487	XVI.B	Social Indicators, Nations Other Than the United States
3488	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3489	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3490	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3491	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3492	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3493	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3494	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3495	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3496	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3497	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3498	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3499	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3500	XVII.A	Social Institutions and Behavior, Minorities and Race Relations
3501	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3502	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3503	XVI.A	Social Indicators, United States
3504	III.A	Conflict, Aggression, Violence, Wars, Conflict and Stability Within Nations
3505	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
3507	XVI.A	Social Indicators, United States
3508	XVI.A	Social Indicators, United States
3509	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
3510	XVI.A	Social Indicators, United States
3511	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3512	IV.B	Economic Behavior and Attitudes, Surveys of Economic Attitudes and Behavior
3514	XIV.A.2.b	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Election Studies Series, Nations Other Than the United States
3515	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
3516	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
3517	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
3518	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
3519	I.A.1.c	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1980 Census
3520	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3521	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3522	XVII.C.1	Social Institutions and Behavior, Socialization, Students, and Youth, United States
3523	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
3524	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
3525	I.A.1.b	Census Enumerations: Historical and Contemporary Population Characteristics, United States, Decennial Censuses, 1970 Census
3526	IX	Health Care and Health Facilities
3527	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3528	V.A	Education, United States
3529	V.A	Education, United States
3530	V.A	Education, United States
3531	V.A	Education, United States
3532	V.A	Education, United States
3533	V.A	Education, United States
3534	V.A	Education, United States
3537	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3538	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3540	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3541	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3542	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3543	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3545	XIV.C.3.a	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Attitudes Toward Regional Integration, Europe
3546	XVII.D	Social Institutions and Behavior, Age and the Life Cycle
3547	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3548	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3549	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3550	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3551	IX	Health Care and Health Facilities
3552	XVI.B	Social Indicators, Nations Other Than the United States
3553	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3554	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3555	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3556	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3557	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3558	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3559	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3560	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3561	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3562	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3563	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3564	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3565	XVII	Social Institutions and Behavior
3566	XIV.C.1	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, United States
3567	XVII.H	Social Institutions and Behavior, Family and Gender
3568	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3569	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3570	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3571	XIV.C.2	Mass Political Behavior and Attitudes, Public Opinion on Political Matters, Nations Other Than the United States
3572	IX	Health Care and Health Facilities
3573	IV.C	Economic Behavior and Attitudes, Historical and Contemporary Economic Processes and Indicators
3575	II.B	Community and Urban Studies, Detroit Area Studies
3576	I.A	Census Enumerations: Historical and Contemporary Population Characteristics, United States
3577	I.B	Census Enumerations: Historical and Contemporary Population Characteristics, Nations Other Than the United States
3579	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3580	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3581	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3582	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3583	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3584	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3585	XVII.E	Social Institutions and Behavior, Crime and the Criminal Justice System
3586	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
3587	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
3588	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
3589	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
3590	XIV.A.1	Mass Political Behavior and Attitudes, Historical and Contemporary Electoral Processes, Primaries, Conventions, and Campaigns
