study	subject
2764	larceny
2764	law enforcement
2764	murder
2764	offenses
2764	rape
2764	robbery
2764	sex offenses
2764	Uniform Crime Reports
2764	vandalism
2764	weapons
2765	addiction
2765	alcohol abuse
2765	correctional facilities
2765	drug related crimes
2765	drug use
2765	inmate programs
2765	outcome evaluation
2765	process evaluation
2765	recidivism
2765	residential programs
2765	substance abuse
2765	substance abuse treatment
2765	treatment outcome
2765	treatment programs
2766	adolescents
2766	child development
2766	children
2766	community organizations
2766	delinquent behavior
2766	neighborhood characteristics
2766	neighborhood conditions
2766	neighborhoods
2766	perceptions
2766	social control
2766	social indicators
2766	substance abuse
2766	violence
2767	international conflict
2767	Kosovo
2767	military intervention
2767	national interests
2767	peace keeping missions
2767	peace negotiations
2767	public opinion
2767	war
2767	war casualties
2768	assisted suicide
2768	bombings
2768	Clinton, Bill
2768	convictions (law)
2768	Kervorkian, Jack
2768	Kosovo
2768	military air strikes
2768	military intervention
2768	national interests
2768	presidential performance
2768	public opinion
2768	Serbia
2768	war casualties
2768	war deaths
2769	Clinton, Bill
2769	international alliances
2769	international conflict
2769	Kosovo
2769	military air strikes
2769	military intervention
2769	Milosevic, Slobodan
2769	public opinion
2769	refugees
2769	Serbia
2770	Clinton Administration (1993-2001)
2770	Clinton, Bill
2770	international conflict
2770	Kosovo
2770	military intervention
2770	national interests
2770	public opinion
2770	refugees
2770	war
2770	war casualties
2771	attitudes
2771	Clinton, Bill
2771	international alliances
2771	international conflict
2771	military intervention
2771	NATO
2771	presidency
2771	presidential performance
2771	public opinion
2771	war
2771	war casualties
2772	media influence
2772	public opinion
2772	social behavior
2772	social interaction
2772	social values
2773	assault weapons
2773	attitudes
2773	Clinton, Bill
2773	gun control
2773	gun control legislation
2773	gun regulation
2773	international alliances
2773	international conflict
2773	military intervention
2773	military operations
2773	NATO
2773	peace keeping missions
2773	peace negotiations
2773	presidency
2773	public opinion
2773	refugees
2773	Serbia
2773	trigger locks (handguns)
2774	Alexander, Lamar
2774	Bauer, Gary
2774	Bradley, Bill
2774	Bush, George W.
2774	Clinton, Bill
2774	Clinton, Hillary
2774	crime
2774	Dole, Elizabeth
2774	Forbes, Steve
2774	foreign affairs
2774	Gore, Al
2774	international alliances
2774	international conflict
2774	Jackson, Jesse
2774	Keyes, Alan
2774	Kusich, John
2774	McCain, John
2774	military intervention
2774	Milosevic, Slobodan
2774	national economy
2774	NATO
2774	peace
2774	political issues
2774	presidential candidates
2774	presidential elections
2774	public opinion
2774	Quayle, Dan
2774	Serbia
2774	Smith, Bob
2774	voter preferences
2775	Clinton, Bill
2775	international alliances
2775	Kosovo
2775	military air strikes
2775	military intervention
2775	peace
2775	peace keeping missions
2775	presidency
2775	presidential performance
2775	public opinion
2775	Serbia
2776	attitudes
2776	Bradley, Bill
2776	Bush, George W.
2776	Gore, Al
2776	leadership
2776	presidential candidates
2776	presidential elections
2776	primaries
2776	public opinion
2776	voter preferences
2777	crime prevention
2777	fear of crime
2777	neighborhood change
2777	neighborhoods
2777	public safety
2777	security
2777	urban areas
2777	urban crime
2777	urban development
2777	urban planning
2777	urban renewal
2778	attitudes
2778	casinos
2778	demographic characteristics
2778	economic indicators
2778	gambling
2778	human behavior
2778	social indicators
2779	German reunification
2779	household budgets
2779	information sources
2779	life satisfaction
2779	lifestyles
2779	national economy
2779	personal finances
2779	political attitudes
2779	public opinion
2779	political participation
2779	recreation
2779	social attitudes
2779	social issues
2779	social values
2779	socioeconomic status
2779	trends
2780	candidates
2780	Clinton Administration (1993-2001)
2780	Clinton, Bill
2780	congressional elections
2780	election forecasting
2780	exit polls
2780	gubernatorial elections
2780	Hispanic or Latino origins
2780	Lewinsky scandal
2780	national elections
2780	presidential elections
2780	referendum
2780	voter preferences
2780	voter turnout
2780	voters
2780	voting behavior
2780	voting precincts
2788	child abuse
2788	correctional facilities
2788	female inmates
2788	female offenders
2788	inmate programs
2788	job training
2788	needs assessment
2788	parenting skills
2788	prerelease programs
2788	program evaluation
2788	self esteem
2788	substance abuse
2788	treatment outcomes
2788	treatment programs
2789	arrest records
2789	case processing
2789	coping
2789	criminal justice system
2789	crisis intervention
2789	demographic characteristics
2789	needs assessment
2789	psychological wellbeing
2789	victim services
2789	victimization
2789	victims
2789	violent crime
2790	attitudes
2790	cultural values
2790	economic conditions
2790	family relationships
2790	health status
2790	moral judgment
2790	personal finances
2790	political attitudes
2790	quality of life
2790	religion
2790	social attitudes
2790	social networks
2790	social values
2790	technology
2790	trust in government
2790	values
2790	work
2791	child abuse
2791	evidence
2791	hearsay evidence
2791	juries
2791	sexual abuse
2791	testimony
2791	trials
2791	witness credibility
2792	cities
2792	crime patterns
2792	drive-by shootings
2792	gang members
2792	gang migration
2792	gang violence
2792	gangs
2792	homicide
2792	intervention
2792	law enforcement
2793	arrests
2793	crime
2793	crime rates
2793	crime reporting
2793	law enforcement agencies
2793	national crime statistics (USA)
2793	offenders
2793	offenses
2793	property crime
2793	Uniform Crime Reports
2793	victims
2793	violent crime
2794	automobile expenses
2794	clothing
2794	construction costs
2794	consumer behavior
2794	consumer expenditures
2794	consumption
2794	credit
2794	debt
2794	demographic characteristics
2794	durable goods
2794	education expenditures
2794	employment
2794	energy consumption
2794	families
2794	fixed income
2794	food costs
2794	health expenditures
2794	health insurance
2794	home ownership
2794	hospitalization
2794	household appliances
2794	household budgets
2794	household expenditures
2794	household income
2794	housing costs
2794	insurance
2794	memberships
2794	mortgage payments
2794	property repairs
2794	purchasing
2794	recreation expenses
2794	taxes
2794	unemployment benefits
2794	wages and salaries
2795	automobile expenses
2795	consumer behavior
2795	consumer expenditures
2795	consumption
2795	debt
2795	demographic characteristics
2795	energy consumption
2795	food costs
2795	household budgets
2795	household expenditures
2795	household income
2795	purchasing
2795	recreation expenses
2796	automobile expenses
2796	consumer behavior
2796	consumer expenditures
2796	consumption
2796	debt
2796	demographic characteristics
2796	durable goods
2796	employment
2796	energy consumption
2796	families
2796	fixed income
2796	food costs
2796	household appliances
2796	household budgets
2796	household expenditures
2796	household income
2796	housing costs
2796	insurance
2796	purchasing
2796	recreation expenses
2796	taxes
2796	unemployment benefits
2796	vehicles
2796	wages and salaries
2797	demographic characteristics
2797	economic behavior
2797	employee benefits
2797	employment
2797	housing units
2797	income
2797	job history
2797	occupations
2797	personal finances
2797	public assistance programs
2797	socioeconomic status
2797	unemployment
2797	welfare reform
2797	welfare services
2797	work experience
2798	attitudes
2798	community policing
2798	neighborhoods
2798	police citizen interactions
2798	police community relations
2798	police officers
2798	police patrol
2800	community involvement
2800	community organizations
2800	community policing
2800	crime reporting
2800	fear of crime
2800	law enforcement agencies
2800	police citizen interactions
2800	police performance
2800	program evaluation
2800	public opinion
2800	rural areas
2801	demographic characteristics
2801	health care facilities
2801	hospitalization
2801	hospitals
2801	illness
2801	medical care
2801	medical evaluation
2801	medical procedures
2801	medical records
2801	patients
2801	payment methods
2801	treatment
2802	alcohol abuse
2802	drug abuse
2802	drug treatment
2802	health care services
2802	health insurance
2802	intervention
2802	mental health
2802	substance abuse
2802	substance abuse treatment
2802	treatment programs
2803	census data
2803	demographic characteristics
2803	employment
2803	Hispanic or Latino origins
2803	households
2803	labor force
2803	national elections
2803	population characteristics
2803	population estimates
2803	unemployment
2803	voter attitudes
2803	voter registration
2803	voters
2803	voting behavior
2804	attitudes
2804	Clinton, Bill
2804	Dole, Bob
2804	Gore, Al
2804	Medicare
2804	misconduct in office
2804	national economy
2804	national elections
2804	Perot, Ross
2804	political advertising
2804	political campaigns
2804	presidency
2804	presidential candidates
2804	presidential debates
2804	presidential performance
2804	public opinion
2804	retirement income
2804	Social Security
2804	voter preferences
2804	voting behavior
2805	case processing
2805	county courts
2805	criminal justice system
2805	delinquent behavior
2805	dependents
2805	juvenile courts
2805	juvenile justice
2805	state courts
2805	statistical data
2805	status offenses
2805	youths
2806	diversion programs
2806	drug offenders
2806	drug offender profiles
2806	drug treatment
2806	intervention
2806	offenders
2806	probation
2806	recidivism
2806	substance abuse treatment
2806	treatment programs
2807	Bush, George W.
2807	campaign finance reform
2807	campaign issues
2807	Clinton, Bill
2807	Clinton, Hillary
2807	crime
2807	Dole, Elizabeth
2807	environmental protection
2807	ethics
2807	foreign affairs
2807	Gore, Al
2807	gun control
2807	McCain, John
2807	Medicare
2807	national economy
2807	presidency
2807	presidential candidates
2807	presidential elections
2807	public opinion
2807	Social Security
2807	tax cuts
2807	voter preferences
2808	arts
2808	attitudes
2808	budget cuts
2808	defense spending
2808	education
2808	government
2808	government performance
2808	government spending
2808	gun control
2808	health
2808	law enforcement
2808	national economy
2808	public confidence
2808	public opinion
2808	social protest
2808	taxes
2808	unemployment
2809	Bentsen, Lloyd
2809	Brown, Jerry
2809	Buchanan, Pat
2809	Bush, George H.W.
2809	Clinton, Bill
2809	Dukakis, Michael
2809	Gore, Al
2809	Harkin, Tom
2809	Jackson, Jesse
2809	Kerrey, Bob
2809	Perot, Ross
2809	political campaigns
2809	political candidates
2809	political issues
2809	presidential elections
2809	public opinion
2809	Quayle, Dan
2809	social issues
2809	Stockdale, James
2809	Tsongas, Paul
2810	census data
2810	colleges
2810	community colleges
2810	demographic characteristics
2810	education
2810	educational background
2810	employment
2810	higher education
2810	Hispanic or Latino origins
2810	households
2810	labor force
2810	population characteristics
2810	population estimates
2810	private schools
2810	public schools
2810	school enrollments
2810	unemployment
2811	case processing
2811	courts
2811	criminal histories
2811	defendants
2811	domestic violence
2811	evidence
2811	felony offenses
2811	prosecution
2811	trial procedures
2811	victims
2812	child abuse
2812	child advocacy
2812	child custody
2812	child neglect
2812	intervention
2812	intervention strategies
2812	juvenile courts
2812	pretrial procedures
2812	program evaluation
2813	correctional facilities (adults)
2813	corrections management
2813	imprisonment
2813	juvenile inmates
2814	bilingual education
2814	civil rights
2814	disabilities
2814	elementary schools
2814	ethnic groups
2814	high schools
2814	minorities
2814	racial integration
2814	school attendance
2814	school desegregation
2814	school districts
2814	school dropouts
2814	special needs students
2814	students
2814	teachers
2815	demographic characteristics
2815	elementary schools
2815	high schools
2815	junior high schools
2815	middle schools
2815	public schools
2815	school districts
2815	school enrollments
2815	students
2815	teachers
2816	adaptation
2816	economic change
2816	economic conditions
2816	health care services
2816	households
2816	mental health
2816	psychological wellbeing
2816	quality of life
2816	rural areas
2816	social change
2816	social networks
2816	social services
2820	administrative costs
2820	demographic characteristics
2820	educational administration
2820	elementary schools
2820	expenditures
2820	high schools
2820	instruction
2820	junior high schools
2820	middle schools
2820	public schools
2820	school attendance
2820	school districts
2820	school enrollments
2820	tax revenues
2821	demographic characteristics
2821	elementary schools
2821	high school graduates
2821	high schools
2821	junior high schools
2821	Metropolitan Statistical Areas
2821	middle schools
2821	noninstructional staff
2821	public schools
2821	school districts
2821	school dropouts
2821	school enrollments
2821	students
2821	teachers
2822	demographic characteristics
2822	educational administration
2822	elementary schools
2822	high school graduates
2822	high schools
2822	junior high schools
2822	middle schools
2822	noninstructional staff
2822	public schools
2822	school districts
2822	school dropouts
2822	school enrollments
2822	students
2822	teachers
2823	demographic characteristics
2823	elementary schools
2823	ethnicity
2823	high schools
2823	junior high schools
2823	middle schools
2823	public schools
2823	race
2823	school districts
2823	school enrollments
2823	students
2823	teachers
2824	computer programs
2824	crime mapping
2824	crime statistics
2824	geographic information systems
2825	census data
2825	demographic characteristics
2825	employment
2825	Hispanic or Latino origins
2825	households
2825	income
2825	job history
2825	labor force
2825	Medicaid
2825	Medicare
2825	occupational mobility
2825	population characteristics
2825	population estimates
2825	unemployment
2825	working hours
2826	ADAM/DUF Program
2826	alcohol abuse
2826	arrests
2826	crime patterns
2826	demographic characteristics
2826	drug dependence
2826	drug offenders
2826	drug related crimes
2826	drug testing
2826	drug treatment
2826	drug use
2826	drugs
2826	juvenile offenders
2826	substance abuse
2826	trends
2826	urinalysis
2827	abortion
2827	Bush Administration (George W., 2001-2009)
2827	Bush, George W.
2827	Cheney, Dick
2827	Democratic Party (USA)
2827	federal income tax
2827	flat tax
2827	Iraq war
2827	national economy
2827	personal finances
2827	presidency
2827	public opinion
2827	Republican Party (USA)
2827	retirement planning
2827	Social Security
2827	Supreme Court nominations
2827	tax cuts
2827	tax rates
2827	technology
2827	terrorism
2827	United States Congress
2828	abortion
2828	birth control
2828	Bush, George W.
2828	capital punishment
2828	Catholic Church
2828	Catholic priests
2828	Delay, Tom
2828	Democratic Party (USA)
2828	electronic surveillance
2828	euthanasia
2828	Frist, Bill
2828	gasoline prices
2828	gun ownership
2828	Hastert, Dennis
2828	Iraq War
2828	morality
2828	Oklahoma City bombing
2828	Patriot Act
2828	Pope John Paul II
2828	presidency
2828	public opinion
2828	Republican Party (USA)
2828	Social Security
2828	terrorism
2828	United States Congress
2829	health care services
2829	health insurance
2829	Health Maintenance Organizations
2829	job satisfaction
2829	Medicaid
2829	Medicare
2829	patient care
2829	physician practice
2829	physicians
2829	professional ethics
2830	attitudes
2830	economic integration
2830	environmental hazards
2830	European unification
2830	European Union
2830	life satisfaction
2830	nuclear reactor safety
2830	parliamentary elections
2830	political influence
2830	public opinion
2830	public policy
2830	quality of life
2830	radioactive waste disposal
2830	radioactive wastes
2830	social change
2830	waste processing
2830	waste storage
2831	consumer attitudes
2831	consumer behavior
2831	developing nations
2831	European unification
2831	European Union
2831	family life
2831	food preferences
2831	foreign aid
2831	information technology
2831	Internet
2831	life satisfaction
2831	public opinion
2831	quality of life
2831	social attitudes
2832	arrests
2832	crime rates
2832	crime reporting
2832	crime statistics
2832	homicide
2832	law enforcement
2832	offenders
2832	offenses
2832	Uniform Crime Reports
2832	victims
2833	adolescents
2833	child care
2833	delinquent behavior
2833	demographic characteristics
2833	family violence
2833	life events
2833	mental health
2833	school violence
2833	substance abuse
2833	victimization
2834	demographic characteristics
2834	drug abuse
2834	drug dependence
2834	drug overdose
2834	drug use
2834	emergencies
2834	emergency services
2834	health behavior
2834	hospitalization
2834	substance abuse
2835	alcohol
2835	amphetamines
2835	cocaine
2835	demographic characteristics
2835	drug testing
2835	drug treatment
2835	drug use
2835	economic indicators
2835	heroin
2835	hospitals
2835	live births
2835	marijuana
2835	methadone
2835	pregnancy
2835	prenatal care
2835	reproductive history
2835	sedatives
2835	tobacco use
2835	tranquilizers
2835	urinalysis
2835	women
2836	crime
2836	crosscultural differences
2836	cultural identity
2836	democracy
2836	domestic policy
2836	Dutch Parliament
2836	environment
2836	European unification
2836	European Union
2836	euthanasia
2836	foreign policy
2836	government performance
2836	health care
2836	income
2836	media use
2836	minorities
2836	neighborhood characteristics
2836	nuclear reactors
2836	parliamentary elections
2836	political affiliation
2836	political attitudes
2836	political change
2836	political issues
2836	political leaders
2836	political participation
2836	public approval
2836	public opinion
2836	refugees
2836	social class
2836	trust in government
2836	voting behavior
2837	automobile expenses
2837	consumer behavior
2837	consumer expenditures
2837	consumption
2837	debt
2837	demographic characteristics
2837	energy consumption
2837	food costs
2837	household budgets
2837	household expenditures
2837	household income
2837	purchasing
2837	recreation expenses
2838	automobile expenses
2838	clothing
2838	construction costs
2838	consumer behavior
2838	consumer expenditures
2838	consumption
2838	credit
2838	debt
2838	demographic characteristics
2838	durable goods
2838	education expenditures
2838	employment
2838	energy consumption
2838	families
2838	fixed income
2838	food costs
2838	health expenditures
2838	health insurance
2838	home ownership
2838	hospitalization
2838	household appliances
2838	household budgets
2838	household expenditures
2838	household income
2838	housing costs
2838	insurance
2838	memberships
2838	mortgage payments
2838	property repairs
2838	purchasing
2838	recreation expenses
2838	taxes
2838	unemployment benefits
2838	wages and salaries
2839	age discrimination
2839	aging
2839	alcohol consumption
2839	attitudes toward aging
2839	cities
2839	citizen participation
2839	emotional states
2839	family relationships
2839	government performance
2839	health status
2839	income
2839	leisure
2839	life satisfaction
2839	living conditions
2839	medical care
2839	mental health
2839	neighborhood conditions
2839	older adults
2839	personal finances
2839	physical health
2839	political affiliation
2839	political attitudes
2839	political participation
2839	self evaluation
2839	smoking
2839	social networks
2839	voting behavior
2840	correctional system
2840	criminal justice system
2840	employment
2840	federal government
2840	full time employment
2840	government expenditures
2840	law enforcement
2840	local government
2840	part time employment
2840	state government
2840	wages and salaries
2841	case processing
2841	county courts
2841	criminal justice system
2841	delinquent behavior
2841	dependents
2841	juvenile courts
2841	juvenile justice
2841	state courts
2841	statistical data
2841	status offenses
2841	youths
2842	attitudes
2842	candidates
2842	economic conditions
2842	election campaigns
2842	elections
2842	German reunification
2842	Kohl, Helmut
2842	parliamentary elections
2842	political attitudes
2842	political interest
2842	political participation
2842	political parties
2842	public confidence
2842	public opinion
2842	Schroeder, Gerhard
2842	voter attitudes
2842	voting behavior
2843	attitudes
2843	candidates
2843	economic conditions
2843	election campaigns
2843	elections
2843	European Parliament
2843	foreign affairs
2843	Kohl, Helmut
2843	living conditions
2843	parliamentary elections
2843	political attitudes
2843	political interest
2843	political participation
2843	political parties
2843	public confidence
2843	public opinion
2843	Schroeder, Gerhard
2843	voter attitudes
2843	voting behavior
2844	health insurance
2844	health services utilization
2844	insurance coverage
2844	insurance payments
2844	long term care
2844	long term care insurance
2844	Medicaid
2848	attitudes
2848	expectations
2848	job satisfaction
2848	job security
2848	life plans
2848	life satisfaction
2848	neighbors
2848	public opinion
2848	self concept
2848	self evaluation
2848	trust (psychology)
2851	birth rates
2851	dental health
2851	depression (psychology)
2851	disabilities
2851	health behavior
2851	health status
2851	Hispanic or Latino Americans
2851	hospitalization
2851	income
2851	long term care
2851	marital status
2851	mental health
2851	Mexican Americans
2851	mortality rates
2851	nursing homes
2851	older adults
2851	risk factors
2852	cities
2852	citizen attitudes
2852	crime
2852	economic behavior
2852	educational background
2852	Equal Employment Opportunity
2852	health care insurance
2852	housing discrimination
2852	knowledge level
2852	local government
2852	NAFTA
2852	neighborhood conditions
2852	police protection
2852	political attitudes
2852	political participation
2852	prejudice
2852	public opinion
2852	race relations
2852	racial attitudes
2852	schools
2852	sex discrimination
2852	social attitudes
2852	social issues
2852	social justice
2852	taxation
2852	tolerance
2852	work attitudes
2853	criminal histories
2853	drug abuse
2853	drug offenders
2853	drug testing
2853	drug treatment
2853	intervention
2853	pretrial procedures
2853	treatment outcomes
2853	treatment programs
2854	appellate courts
2854	court system
2854	judge selection
2854	judges
2854	juries
2854	policies and procedures
2854	state courts
2854	trial courts
2854	verdicts
2855	administrative costs
2855	assisted living
2855	assisted living facilities
2855	health care costs
2855	health care facilities
2855	health services utilization
2855	health status
2855	institutional care
2855	labor costs
2855	long term care
2855	mortality rates
2855	nursing homes
2855	older adults
2855	patient care
2855	payment methods
2856	beliefs
2856	community involvement
2856	ethnicity
2856	family history
2856	family life
2856	family relationships
2856	health status
2856	life satisfaction
2856	midlife
2856	minorities
2856	neighborhood characteristics
2856	neighborhoods
2856	psychological wellbeing
2856	quality of life
2856	social integration
2856	social networks
2856	urban areas
2857	arrest records
2857	convictions (law)
2857	crime control
2857	crime prevention
2857	drug law offenses
2857	felons
2857	fines
2857	imprisonment
2857	jails
2857	probation
2857	recidivism
2857	sentencing
2858	arrest procedures
2858	battered women
2858	domestic violence
2858	intervention
2858	police departments
2858	program evaluation
2858	recidivists
2858	victim services
2858	victims
2859	human behavior
2859	pornography
2859	prostitution
2859	sex offenses
2859	sexual attitudes
2859	sexual behavior
2860	attitudes
2860	candidates
2860	economic conditions
2860	election campaigns
2860	elections
2860	German reunification
2860	government spending
2860	immigration
2860	media coverage
2860	national pride
2860	parliamentary elections
2860	political attitudes
2860	political interest
2860	political participation
2860	political parties
2860	public confidence
2860	public opinion
2860	voter attitudes
2860	voting behavior
2860	world politics
2861	attitudes
2861	candidates
2861	economic conditions
2861	election campaigns
2861	elections
2861	political attitudes
2861	political interest
2861	political participation
2861	political parties
2861	public confidence
2861	public opinion
2861	voter attitudes
2861	voting behavior
2862	attitudes
2862	candidates
2862	demographic characteristics
2862	economic conditions
2862	election campaigns
2862	elections
2862	European Union
2862	mass media
2862	NATO
2862	policy analysis
2862	political attitudes
2862	political ideologies
2862	political interest
2862	political participation
2862	political parties
2862	public confidence
2862	public opinion
2862	voter attitudes
2862	voting behavior
2863	census data
2863	demographic characteristics
2863	eighteenth century
2863	income distribution
2863	nineteenth century
2863	occupational status
2863	political systems
2863	social classes
2863	tax records
2863	wealth
2864	age discrimination
2864	attitudes
2864	attitudes toward aging
2864	domestic violence
2864	economic integration
2864	European unification
2864	European Union
2864	family violence
2864	life satisfaction
2864	long term care
2864	older adults
2864	older workers
2864	political influence
2864	public opinion
2864	quality of life
2864	retirement
2864	social change
2865	attitudes
2865	consumer advocates
2865	consumer attitudes
2865	consumer protection
2865	economic integration
2865	environmental attitudes
2865	environmental degradation
2865	European unification
2865	European Union
2865	information dissemination
2865	life satisfaction
2865	political influence
2865	pollution
2865	public opinion
2865	quality of life
2865	social change
2865	sources of information
2868	Bush, George W.
2868	Clinton, Bill
2868	Clinton, Hillary
2868	congressional campaigns
2868	congressional candidates
2868	congressional elections
2868	Giuliani, Rudolph
2868	Gore, Al
2868	party identification
2868	political affiliation
2868	political attitudes
2868	public opinion
2868	voter attitudes
2868	voter expectations
2868	voting behavior
2874	communications systems
2874	economic conditions
2874	international relations
2874	media influence
2874	prediction
2874	public opinion
2874	quality of life
2874	social life
2874	trends
2874	twenty-first century
2875	alcohol abuse
2875	census data
2875	criminal histories
2875	drug abuse
2875	homeless persons
2875	homeless shelters
2875	income
2875	needs assessment
2875	psychological wellbeing
2875	social services
2876	crime mapping
2876	crime patterns
2876	databases
2876	information systems
2876	law enforcement agencies
2877	aging
2877	American Civil War
2877	causes of death
2877	census data
2877	demographic characteristics
2877	disease
2877	health status
2877	labor force
2877	medical records
2877	midlife
2877	military pensions
2877	military recruitment
2877	military service
2877	mortality rates
2877	nineteenth century
2877	nutrition
2877	socioeconomic status
2877	twentieth century
2877	Union Army
2877	veterans
2878	crime mapping
2878	geographic information systems
2878	information use
2878	law enforcement agencies
2879	crime laboratories
2879	DNA fingerprinting
2879	forensic sciences
2879	personnel
2879	policies and procedures
2880	Affirmative Action
2880	African Americans
2880	Black White relations
2880	cities
2880	economic behavior
2880	educational opportunities
2880	educationally disadvantaged
2880	employment discrimination
2880	employment potential
2880	employment qualifications
2880	ethnic discrimination
2880	hiring practices
2880	housing discrimination
2880	job requirements
2880	minority affairs
2880	neighborhood conditions
2880	occupational mobility
2880	political attitudes
2880	public opinion
2880	quality of life
2880	racial attitudes
2880	residential segregation
2880	social attitudes
2880	social change
2880	social issues
2880	work attitudes
2881	cities
2881	communities
2881	community involvement
2881	cost of living
2881	crime
2881	drugs
2881	economic behavior
2881	education
2881	environmental degradation
2881	government services
2881	government spending
2881	housing
2881	job security
2881	law enforcement
2881	police community relations
2881	political affiliation
2881	political attitudes
2881	political participation
2881	racial attitudes
2881	social inequality
2881	social problems
2881	social stratification
2881	taxation
2881	unemployment
2881	welfare services
2882	citizens
2882	internal political conflict
2882	knowledge (awareness)
2882	political change
2882	political violence
2882	social change
2882	twentieth century
2883	case processing
2883	civil courts
2883	civil law
2883	court cases
2883	court system
2883	disposition (legal)
2883	lawsuits
2883	state courts
2884	AIDS
2884	criminal histories
2884	drug treatment
2884	employment
2884	health status
2884	HIV
2884	mental health
2884	program evaluation
2884	social behavior
2884	substance abuse
2884	treatment outcomes
2884	treatment programs
2885	crime prevention
2885	fear of crime
2885	police citizen interactions
2885	police performance
2885	public interest
2885	public opinion
2885	public safety
2885	public service advertising
2887	correctional facilities
2887	drug abuse
2887	process evaluation
2887	recidivism
2887	residential programs
2887	substance abuse
2887	substance abuse treatment
2887	treatment outcomes
2887	treatment programs
2888	addiction
2888	correctional facilities
2888	drug use
2888	inmate programs
2888	outcome evaluation
2888	process evaluation
2888	recidivism
2888	residential programs
2888	substance abuse
2888	substance abuse treatment
2888	treatment outcomes
2889	census data
2889	demographic characteristics
2889	education
2889	employment
2889	ethnicity
2889	family structure
2889	household composition
2889	housing
2889	housing conditions
2889	income
2889	labor force
2889	population
2889	population characteristics
2889	poverty
2889	social indicators
2890	drug abuse
2890	drug dependence
2890	drug testing
2890	drug treatment
2890	drug use
2890	offenders
2890	treatment programs
2890	urinalysis
2891	criminal justice system
2891	felony offenses
2891	misdemeanor offenses
2891	policies and procedures
2891	punishment
2891	sentencing
2891	sentencing reforms
2892	attitudes
2892	banking
2892	economic integration
2892	euro
2892	European Parliament
2892	European unification
2892	European Union
2892	financial management
2892	life satisfaction
2892	media use
2892	parliamentary elections
2892	political awareness
2892	political influence
2892	public opinion
2892	quality of life
2892	social change
2892	social influences
2892	voter attitudes
2893	attitudes
2893	biotechnology
2893	cloning
2893	economic integration
2893	European unification
2893	European Union
2893	family life
2893	genetic engineering
2893	health care
2893	health status
2893	income
2893	information technology
2893	Internet
2893	leisure
2893	life satisfaction
2893	public opinion
2893	quality of life
2893	social change
2893	social life
2893	standard of living
2893	technological change
2893	technology
2894	case processing
2894	county courts
2894	criminal justice system
2894	delinquent behavior
2894	dependents
2894	juvenile courts
2894	juvenile justice
2894	state courts
2894	statistical data
2894	status offenses
2894	youths
2895	armed robbery
2895	assault
2895	criminality
2895	drug law offenses
2895	firearms
2895	forensic sciences
2895	gun control
2895	gun ownership
2895	gun registration
2895	gun use
2895	handguns
2895	homicide
2895	neighborhoods
2895	public safety
2895	weapons offenses
2896	agriculture
2896	census data
2896	climate
2896	counties
2896	demographic characteristics
2896	economic conditions
2896	eighteenth century
2896	families
2896	historical data
2896	housing
2896	local government
2896	manufacturing
2896	marriage
2896	national identity
2896	nineteenth century
2896	occupations
2896	political change
2896	population
2896	population size
2896	poverty
2896	religion
2896	retail
2896	school enrollments
2896	service industry
2896	Social Security
2896	states (USA)
2896	twentieth century
2896	vital statistics
2898	census data
2898	demographic characteristics
2898	displaced workers
2898	employee benefits
2898	employment
2898	Hispanic or Latino origins
2898	households
2898	job history
2898	job loss
2898	job satisfaction
2898	job security
2898	labor force
2898	occupations
2898	population characteristics
2898	population estimates
2898	temporary employment
2898	unemployment
2899	criminal justice system
2899	demographic characteristics
2899	needs assessment
2899	relationships
2899	stalking
2899	victim services
2899	victims
2899	women
2900	accidents
2900	causes of death
2900	death records
2900	demographic characteristics
2900	disabilities
2900	disease
2900	health
2900	health care access
2900	health care utilization
2900	homicide
2900	injuries
2900	medical care
2900	medical history
2900	mortality rates
2900	population trends
2900	risk factors
2900	suicide
2900	vital statistics
2901	abortion
2901	Bradley, Bill
2901	Buchanan, Pat
2901	Bush, George W.
2901	campaign finance reform
2901	Clinton, Bill
2901	crime
2901	education
2901	environmental issues
2901	federal budget
2901	Forbes, Steve
2901	foreign affairs
2901	Gore, Al
2901	gun control
2901	health care
2901	leadership
2901	McCain, John
2901	Medicare
2901	morality
2901	national economy
2901	nuclear power
2901	political issues
2901	presidency
2901	presidential candidates
2901	presidential elections
2901	public opinion
2901	social issues
2901	Social Security
2901	taxes
2901	Trump, Donald
2901	voter preferences
2901	voting behavior
2902	Bradley, Bill
2902	Bush, George W.
2902	campaign finance reform
2902	Clinton Administration (1993-2001)
2902	Clinton, Bill
2902	economic conditions
2902	foreign policy
2902	Gore, Al
2902	health care
2902	McCain, John
2902	Medicare
2902	political candidates
2902	political issues
2902	presidency
2902	presidential elections
2902	presidential performance
2902	public opinion
2902	social issues
2902	Social Security
2902	taxes
2902	voter attitudes
2902	voting behavior
2903	Arab Israeli relations
2903	democracy
2903	economic conditions
2903	Israeli Knesset
2903	Middle East
2903	national defense
2903	national elections
2903	national security
2903	peace
2903	political candidates
2903	political participation
2903	political parties
2903	voter attitudes
2903	voting behavior
2904	arrests
2904	crime rates
2904	crime reporting
2904	crime statistics
2904	law enforcement
2904	offenses
2904	Uniform Crime Reports
2905	arrests
2905	crime rates
2905	crime reporting
2905	crime statistics
2905	larceny
2905	law enforcement
2905	offenses
2905	property crimes
2905	property crime statistics
